Node,Skill,Tier,AgeBand,PromptStyle,VisualApproach,Status
Contour & Shape,Ascending vs Descending,3,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Ascending vs Descending,3,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Ascending vs Descending,3,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Ascending vs Descending,4,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Ascending vs Descending,4,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Ascending vs Descending,4,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Contour Shape Match,1,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Contour Shape Match,1,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Contour Shape Match,1,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Contour Shape Match,2,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Contour Shape Match,2,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Contour Shape Match,2,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Contour Shape Match,3,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Contour Shape Match,3,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Contour Shape Match,3,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Contour Shape Match,4,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Contour Shape Match,4,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Contour Shape Match,4,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Stepwise vs Leaping Motion,1,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Stepwise vs Leaping Motion,1,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Stepwise vs Leaping Motion,1,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Stepwise vs Leaping Motion,2,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Stepwise vs Leaping Motion,2,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Stepwise vs Leaping Motion,2,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Stepwise vs Leaping Motion,3,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Stepwise vs Leaping Motion,3,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Stepwise vs Leaping Motion,3,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Stepwise vs Leaping Motion,4,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Stepwise vs Leaping Motion,4,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Stepwise vs Leaping Motion,4,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Mixed Contour Recognition,1,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Mixed Contour Recognition,1,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Mixed Contour Recognition,1,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Mixed Contour Recognition,2,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Mixed Contour Recognition,2,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Mixed Contour Recognition,2,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Mixed Contour Recognition,3,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Mixed Contour Recognition,3,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Mixed Contour Recognition,3,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Mixed Contour Recognition,4,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Mixed Contour Recognition,4,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Mixed Contour Recognition,4,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Contour Imitation,1,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Contour Imitation,1,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Contour Imitation,1,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Contour Imitation,2,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Contour Imitation,2,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Contour Imitation,2,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Contour Imitation,3,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Contour Imitation,3,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Contour Imitation,3,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Contour Imitation,4,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Contour Imitation,4,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Contour Imitation,4,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Steady Beat Feel,1,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Steady Beat Feel,1,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Steady Beat Feel,1,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Steady Beat Feel,2,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Steady Beat Feel,2,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Steady Beat Feel,2,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Steady Beat Feel,3,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Steady Beat Feel,3,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Steady Beat Feel,3,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Steady Beat Feel,4,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Steady Beat Feel,4,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Steady Beat Feel,4,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Tap Along to Pulse,1,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Tap Along to Pulse,1,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Tap Along to Pulse,1,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Tap Along to Pulse,2,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Tap Along to Pulse,2,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Tap Along to Pulse,2,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Tap Along to Pulse,3,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Tap Along to Pulse,3,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Tap Along to Pulse,3,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Tap Along to Pulse,4,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Tap Along to Pulse,4,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Tap Along to Pulse,4,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Accent on the Beat,1,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Accent on the Beat,1,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Accent on the Beat,1,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Accent on the Beat,2,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Accent on the Beat,2,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Accent on the Beat,2,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Accent on the Beat,3,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Accent on the Beat,3,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Accent on the Beat,3,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Accent on the Beat,4,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Accent on the Beat,4,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Accent on the Beat,4,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Rhythm Echo,1,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Rhythm Echo,1,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Rhythm Echo,1,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Rhythm Echo,2,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Rhythm Echo,2,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Rhythm Echo,2,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Rhythm Echo,3,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Rhythm Echo,3,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Rhythm Echo,3,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Rhythm Echo,4,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Rhythm Echo,4,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Rhythm Echo,4,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Tempo Awareness,1,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Tempo Awareness,1,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Tempo Awareness,1,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Tempo Awareness,2,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Tempo Awareness,2,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Tempo Awareness,2,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Tempo Awareness,3,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Tempo Awareness,3,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Tempo Awareness,3,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Tempo Awareness,4,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Tempo Awareness,4,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Tempo Awareness,4,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Count-and-Accent,1,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Count-and-Accent,1,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Count-and-Accent,1,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Count-and-Accent,2,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Count-and-Accent,2,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Count-and-Accent,2,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Count-and-Accent,3,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Count-and-Accent,3,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Count-and-Accent,3,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Count-and-Accent,4,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Count-and-Accent,4,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Rhythm & Timing,Count-and-Accent,4,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Anticipation & Musical Punctuation,Call & Response Echo,1,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Anticipation & Musical Punctuation,Call & Response Echo,1,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Anticipation & Musical Punctuation,Call & Response Echo,1,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Anticipation & Musical Punctuation,Call & Response Echo,2,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Anticipation & Musical Punctuation,Call & Response Echo,2,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Anticipation & Musical Punctuation,Call & Response Echo,2,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Anticipation & Musical Punctuation,Call & Response Echo,3,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Anticipation & Musical Punctuation,Call & Response Echo,3,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Anticipation & Musical Punctuation,Call & Response Echo,3,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Anticipation & Musical Punctuation,Call & Response Echo,4,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Anticipation & Musical Punctuation,Call & Response Echo,4,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Anticipation & Musical Punctuation,Call & Response Echo,4,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Anticipation & Musical Punctuation,Wait... BOO!,1,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Anticipation & Musical Punctuation,Wait... BOO!,1,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Anticipation & Musical Punctuation,Wait... BOO!,1,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Anticipation & Musical Punctuation,Wait... BOO!,2,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Anticipation & Musical Punctuation,Wait... BOO!,2,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Anticipation & Musical Punctuation,Wait... BOO!,2,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Anticipation & Musical Punctuation,Wait... BOO!,3,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Anticipation & Musical Punctuation,Wait... BOO!,3,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Anticipation & Musical Punctuation,Wait... BOO!,3,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
