Node,Skill,Tier,MinAgency,MaxAgency,Prerequisite,Status
Harmony & Chord Feel,Root vs Non-Root Feel,4,A2,A4,Root vs Non-Root Feel_T3,Working scaffold — agency ranges/prerequisites still require curriculum review
Harmony & Chord Feel,Simple Resolution Feel,1,A0,A2,Mode Contrast_T1,Working scaffold — agency ranges/prerequisites still require curriculum review
Harmony & Chord Feel,Simple Resolution Feel,2,A1,A3,Simple Resolution Feel_T1,Working scaffold — agency ranges/prerequisites still require curriculum review
Harmony & Chord Feel,Simple Resolution Feel,3,A2,A4,Simple Resolution Feel_T2,Working scaffold — agency ranges/prerequisites still require curriculum review
Harmony & Chord Feel,Simple Resolution Feel,4,A2,A4,Simple Resolution Feel_T3,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Naming & Functional Hearing,Do-Re-Mi Association,1,A1,A3,Higher vs Lower_T2,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Naming & Functional Hearing,Do-Re-Mi Association,2,A2,A4,Do-Re-Mi Association_T1,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Naming & Functional Hearing,Do-Re-Mi Association,3,A3,A4,Do-Re-Mi Association_T2,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Naming & Functional Hearing,Do-Re-Mi Association,4,A4,A4,Do-Re-Mi Association_T3,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Naming & Functional Hearing,Melody Echo Using Solfege,1,A1,A3,Higher vs Lower_T2,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Naming & Functional Hearing,Melody Echo Using Solfege,2,A2,A4,Melody Echo Using Solfege_T1,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Naming & Functional Hearing,Melody Echo Using Solfege,3,A3,A4,Melody Echo Using Solfege_T2,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Naming & Functional Hearing,Melody Echo Using Solfege,4,A4,A4,Melody Echo Using Solfege_T3,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Naming & Functional Hearing,Hear 'So' as Home,1,A1,A3,Higher vs Lower_T2,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Naming & Functional Hearing,Hear 'So' as Home,2,A2,A4,Hear 'So' as Home_T1,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Naming & Functional Hearing,Hear 'So' as Home,3,A3,A4,Hear 'So' as Home_T2,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Naming & Functional Hearing,Hear 'So' as Home,4,A4,A4,Hear 'So' as Home_T3,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Naming & Functional Hearing,Basic Interval Naming,1,A1,A3,Higher vs Lower_T2,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Naming & Functional Hearing,Basic Interval Naming,2,A2,A4,Basic Interval Naming_T1,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Naming & Functional Hearing,Basic Interval Naming,3,A3,A4,Basic Interval Naming_T2,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Naming & Functional Hearing,Basic Interval Naming,4,A4,A4,Basic Interval Naming_T3,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Naming & Functional Hearing,Moveable Do Awareness,1,A1,A3,Higher vs Lower_T2,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Naming & Functional Hearing,Moveable Do Awareness,2,A2,A4,Moveable Do Awareness_T1,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Naming & Functional Hearing,Moveable Do Awareness,3,A3,A4,Moveable Do Awareness_T2,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Naming & Functional Hearing,Moveable Do Awareness,4,A4,A4,Moveable Do Awareness_T3,Working scaffold — agency ranges/prerequisites still require curriculum review
